symbol,date,side,price,pf_w
SIBN,2010-10-01,SELL,118.11,0.316262166289396
PIKK,2010-10-04,BUY,120,0.4
SBER,2010-10-04,BUY,89.88,0.205834241989455
SIBN,2010-10-04,BUY,120.45,0.356262166289396
PIKK,2010-10-06,SELL,120,0.4
SBERP,2010-10-06,SELL,63.3,0.44
SIBN,2010-10-06,SELL,119.78,0.316262166289396
GAZP,2010-10-07,SELL,162.49,0.4
GAZP,2010-10-08,BUY,163.35,0.4
SBER,2010-10-08,SELL,90.5,0.584859175138705
SBERP,2010-10-11,BUY,63.8,0.48
GAZP,2010-10-12,SELL,163,0.4
ROSN,2010-10-12,SELL,213.1,0.04
SIBN,2010-10-12,SELL,118.9,0.04
SIBN,2010-10-13,BUY,121.19,0.356262166289396
SBERP,2010-10-14,SELL,65.31,0.556277074651061
SIBN,2010-10-14,SELL,120.15,0.316262166289396
SBER,2010-10-15,BUY,92.53,0.584859175138705
SBERP,2010-10-18,BUY,66.89,0.556277074651061
SIBN,2010-10-20,SELL,118.85,0.04
GAZP,2010-10-21,BUY,165.8,0.4
ROSN,2010-10-21,BUY,218.69,0.04
SIBN,2010-10-21,BUY,119.99,0.316262166289396
SIBN,2010-10-22,SELL,118.39,0.316262166289396
PIKK,2010-10-25,BUY,113.5,0.4
SBERP,2010-10-25,SELL,70.8,0.556277074651061
GAZP,2010-10-26,SELL,168.45,0.4
ISKJ,2010-10-26,BUY,10.308,0.08
PIKK,2010-10-26,SELL,113,0.4
SBER,2010-10-26,SELL,101.42,0.584859175138705
SIBN,2010-10-26,BUY,120.47,0.356262166289396
ISKJ,2010-10-27,SELL,10.299,0.08
PIKK,2010-10-27,BUY,113.86,0.4
SIBN,2010-10-27,SELL,119.25,0.316262166289396
ROSN,2010-10-28,SELL,214.03,0.04
SIBN,2010-10-29,BUY,120.9,0.316262166289396
GAZP,2010-11-01,BUY,169.89,0.4
SIBN,2010-11-01,SELL,120.6,0.316262166289396
PIKK,2010-11-02,SELL,115.18,0.4
SBER,2010-11-02,BUY,102.35,0.04
SBERP,2010-11-02,BUY,70.67,0.4
SIBN,2010-11-02,BUY,121.95,0.316262166289396
SIBN,2010-11-03,SELL,121.08,0.316262166289396
ISKJ,2010-11-08,BUY,10.196,0.08
ROSN,2010-11-08,BUY,220.93,0.04
SBER,2010-11-08,BUY,103.95,0.544859175138705
SBERP,2010-11-08,BUY,71.27,0.156277074651061
SIBN,2010-11-08,BUY,124.25,0.316262166289396
ISKJ,2010-11-09,SELL,10.16,0.08
LKOH,2010-11-09,BUY,1800,0.04
SBERP,2010-11-09,SELL,71.13,0.556277074651061
GAZP,2010-11-10,SELL,174.47,0.4
ISKJ,2010-11-10,BUY,10.441,0.08
PIKK,2010-11-10,BUY,116.07,0.4
SIBN,2010-11-10,SELL,125.44,0.316262166289396
ISKJ,2010-11-11,SELL,10.28,0.08
PIKK,2010-11-11,SELL,115.09,0.4
SBER,2010-11-11,SELL,98.4,0.584859175138705
LKOH,2010-11-12,SELL,1741.54,0.04
